CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F168,F181,F182,F183,F1915,F1921,
,,,,,Age : Age 0 to 4 - Unit : Persons,Age : Age 75 to 84 - Unit : Persons,Age : Age 85 to 89 - Unit : Persons,Age : Age 90 and over - Unit : Persons,Long-term health problem or disability : Total\ Long-term health problem or disability - Unit : Persons,Residence in the UK; length of [E][S][W] : Resident in UK\ Less than 2 years - Unit : Persons,
19263,E01000001,City of London 001A,Lower Super Output Areas and Data Zones,LSOADZ,50,103,19,7,1465,71,
19264,E01000002,City of London 001B,Lower Super Output Areas and Data Zones,LSOADZ,60,64,18,15,1436,33,
19265,E01000003,City of London 001C,Lower Super Output Areas and Data Zones,LSOADZ,53,101,27,12,1346,66,
19266,E01000005,City of London 001E,Lower Super Output Areas and Data Zones,LSOADZ,42,37,6,5,985,52,
19267,E01000006,Barking and Dagenham 016A,Lower Super Output Areas and Data Zones,LSOADZ,154,43,9,6,1703,122,
19268,E01000007,Barking and Dagenham 015A,Lower Super Output Areas and Data Zones,LSOADZ,171,17,5,2,1391,103,
19269,E01000008,Barking and Dagenham 015B,Lower Super Output Areas and Data Zones,LSOADZ,175,16,3,0,1544,103,
19270,E01000009,Barking and Dagenham 016B,Lower Super Output Areas and Data Zones,LSOADZ,156,63,13,9,1773,189,
19271,E01000010,Barking and Dagenham 015C,Lower Super Output Areas and Data Zones,LSOADZ,318,22,5,3,2840,454,
19272,E01000011,Barking and Dagenham 016C,Lower Super Output Areas and Data Zones,LSOADZ,147,23,3,4,1634,163,
19273,E01000012,Barking and Dagenham 015D,Lower Super Output Areas and Data Zones,LSOADZ,291,7,1,0,1901,181,
19274,E01000013,Barking and Dagenham 013A,Lower Super Output Areas and Data Zones,LSOADZ,155,74,31,6,1660,44,
19275,E01000014,Barking and Dagenham 013B,Lower Super Output Areas and Data Zones,LSOADZ,153,58,18,7,1656,34,
19276,E01000015,Barking and Dagenham 009A,Lower Super Output Areas and Data Zones,LSOADZ,290,54,18,5,2241,63,
19277,E01000016,Barking and Dagenham 009B,Lower Super Output Areas and Data Zones,LSOADZ,143,76,16,4,1637,22,
19278,E01000017,Barking and Dagenham 009C,Lower Super Output Areas and Data Zones,LSOADZ,160,57,20,6,1594,36,
19279,E01000018,Barking and Dagenham 009D,Lower Super Output Areas and Data Zones,LSOADZ,153,55,23,5,1597,22,
19280,E01000019,Barking and Dagenham 023A,Lower Super Output Areas and Data Zones,LSOADZ,129,48,10,2,1407,46,
19281,E01000020,Barking and Dagenham 023B,Lower Super Output Areas and Data Zones,LSOADZ,151,70,36,25,1834,43,
19282,E01000021,Barking and Dagenham 008A,Lower Super Output Areas and Data Zones,LSOADZ,151,37,11,7,1579,56,
19283,E01000022,Barking and Dagenham 008B,Lower Super Output Areas and Data Zones,LSOADZ,137,46,14,5,1314,32,
19284,E01000023,Barking and Dagenham 008C,Lower Super Output Areas and Data Zones,LSOADZ,104,32,17,7,1112,59,
19285,E01000024,Barking and Dagenham 008D,Lower Super Output Areas and Data Zones,LSOADZ,150,39,11,8,1336,26,
19286,E01000025,Barking and Dagenham 008E,Lower Super Output Areas and Data Zones,LSOADZ,148,58,16,5,1609,47,
19287,E01000027,Barking and Dagenham 001A,Lower Super Output Areas and Data Zones,LSOADZ,148,109,26,18,1709,12,
19288,E01000028,Barking and Dagenham 001B,Lower Super Output Areas and Data Zones,LSOADZ,143,64,43,31,1549,33,
19289,E01000029,Barking and Dagenham 001C,Lower Super Output Areas and Data Zones,LSOADZ,93,165,53,28,1602,38,
19290,E01000030,Barking and Dagenham 001D,Lower Super Output Areas and Data Zones,LSOADZ,244,81,34,12,1915,34,
19291,E01000031,Barking and Dagenham 002A,Lower Super Output Areas and Data Zones,LSOADZ,102,67,25,15,1617,28,
19292,E01000032,Barking and Dagenham 002B,Lower Super Output Areas and Data Zones,LSOADZ,128,87,20,13,1629,47,
19293,E01000033,Barking and Dagenham 006A,Lower Super Output Areas and Data Zones,LSOADZ,150,57,13,9,1361,14,
19294,E01000034,Barking and Dagenham 003A,Lower Super Output Areas and Data Zones,LSOADZ,86,96,46,44,1444,12,
19295,E01000035,Barking and Dagenham 010A,Lower Super Output Areas and Data Zones,LSOADZ,130,78,30,10,1610,39,
19296,E01000036,Barking and Dagenham 010B,Lower Super Output Areas and Data Zones,LSOADZ,113,59,11,3,1353,34,
19297,E01000037,Barking and Dagenham 003B,Lower Super Output Areas and Data Zones,LSOADZ,78,74,17,4,1688,14,
19298,E01000038,Barking and Dagenham 003C,Lower Super Output Areas and Data Zones,LSOADZ,89,95,31,10,1447,14,
19299,E01000039,Barking and Dagenham 003D,Lower Super Output Areas and Data Zones,LSOADZ,112,99,25,7,1603,18,
19300,E01000040,Barking and Dagenham 019A,Lower Super Output Areas and Data Zones,LSOADZ,137,76,16,5,1569,33,
19301,E01000041,Barking and Dagenham 017A,Lower Super Output Areas and Data Zones,LSOADZ,174,46,13,7,1682,50,
19302,E01000042,Barking and Dagenham 017B,Lower Super Output Areas and Data Zones,LSOADZ,225,57,18,6,1788,72,
19303,E01000043,Barking and Dagenham 019B,Lower Super Output Areas and Data Zones,LSOADZ,108,63,24,6,1358,50,
19304,E01000044,Barking and Dagenham 016D,Lower Super Output Areas and Data Zones,LSOADZ,177,71,7,7,1798,95,
19305,E01000045,Barking and Dagenham 017C,Lower Super Output Areas and Data Zones,LSOADZ,167,36,19,9,1650,56,
19306,E01000046,Barking and Dagenham 017D,Lower Super Output Areas and Data Zones,LSOADZ,183,68,15,7,1779,32,
19307,E01000048,Barking and Dagenham 021B,Lower Super Output Areas and Data Zones,LSOADZ,258,25,6,2,1783,65,
19308,E01000049,Barking and Dagenham 021C,Lower Super Output Areas and Data Zones,LSOADZ,260,48,8,3,1820,62,
19309,E01000050,Barking and Dagenham 019C,Lower Super Output Areas and Data Zones,LSOADZ,173,63,30,10,1661,101,
19310,E01000051,Barking and Dagenham 021D,Lower Super Output Areas and Data Zones,LSOADZ,256,12,6,0,1927,76,
19311,E01000052,Barking and Dagenham 019D,Lower Super Output Areas and Data Zones,LSOADZ,225,67,22,12,2014,105,
19312,E01000053,Barking and Dagenham 020A,Lower Super Output Areas and Data Zones,LSOADZ,155,62,17,11,1485,32,
19313,E01000054,Barking and Dagenham 018A,Lower Super Output Areas and Data Zones,LSOADZ,164,94,16,5,1718,36,
19314,E01000055,Barking and Dagenham 018B,Lower Super Output Areas and Data Zones,LSOADZ,134,44,20,4,1553,34,
19315,E01000056,Barking and Dagenham 018C,Lower Super Output Areas and Data Zones,LSOADZ,184,66,12,10,1584,28,
19316,E01000057,Barking and Dagenham 012A,Lower Super Output Areas and Data Zones,LSOADZ,183,50,18,4,1496,28,
19317,E01000058,Barking and Dagenham 018D,Lower Super Output Areas and Data Zones,LSOADZ,191,59,16,3,1849,42,
19318,E01000059,Barking and Dagenham 013C,Lower Super Output Areas and Data Zones,LSOADZ,129,67,35,20,1582,27,
19319,E01000060,Barking and Dagenham 006B,Lower Super Output Areas and Data Zones,LSOADZ,194,81,42,13,1809,28,
19320,E01000061,Barking and Dagenham 006C,Lower Super Output Areas and Data Zones,LSOADZ,238,25,3,7,1776,36,
19321,E01000062,Barking and Dagenham 006D,Lower Super Output Areas and Data Zones,LSOADZ,156,117,33,15,1952,57,
19322,E01000063,Barking and Dagenham 004A,Lower Super Output Areas and Data Zones,LSOADZ,160,74,16,10,1620,32,
19323,E01000064,Barking and Dagenham 006E,Lower Super Output Areas and Data Zones,LSOADZ,171,104,50,36,1893,59,
19324,E01000065,Barking and Dagenham 007A,Lower Super Output Areas and Data Zones,LSOADZ,143,128,39,22,1736,31,
19325,E01000066,Barking and Dagenham 011A,Lower Super Output Areas and Data Zones,LSOADZ,177,79,23,15,1928,36,
19326,E01000067,Barking and Dagenham 011B,Lower Super Output Areas and Data Zones,LSOADZ,148,84,25,14,1969,53,
19327,E01000068,Barking and Dagenham 016E,Lower Super Output Areas and Data Zones,LSOADZ,97,75,8,4,1590,75,
19328,E01000069,Barking and Dagenham 011C,Lower Super Output Areas and Data Zones,LSOADZ,115,61,16,11,1763,41,
19329,E01000070,Barking and Dagenham 011D,Lower Super Output Areas and Data Zones,LSOADZ,130,109,30,9,1975,74,
19330,E01000071,Barking and Dagenham 011E,Lower Super Output Areas and Data Zones,LSOADZ,207,89,39,15,2253,95,
19331,E01000072,Barking and Dagenham 017E,Lower Super Output Areas and Data Zones,LSOADZ,243,73,27,10,1991,43,
19332,E01000073,Barking and Dagenham 012B,Lower Super Output Areas and Data Zones,LSOADZ,174,81,17,10,1619,53,
19333,E01000074,Barking and Dagenham 012C,Lower Super Output Areas and Data Zones,LSOADZ,162,55,20,2,1567,15,
19334,E01000075,Barking and Dagenham 012D,Lower Super Output Areas and Data Zones,LSOADZ,143,69,22,5,1732,28,
19335,E01000076,Barking and Dagenham 012E,Lower Super Output Areas and Data Zones,LSOADZ,227,59,19,9,1988,52,
19336,E01000077,Barking and Dagenham 008F,Lower Super Output Areas and Data Zones,LSOADZ,127,54,12,7,1445,30,
19337,E01000078,Barking and Dagenham 007B,Lower Super Output Areas and Data Zones,LSOADZ,201,54,13,10,1666,32,
19338,E01000079,Barking and Dagenham 009E,Lower Super Output Areas and Data Zones,LSOADZ,164,75,20,14,1546,34,
19339,E01000080,Barking and Dagenham 007C,Lower Super Output Areas and Data Zones,LSOADZ,134,70,18,9,1556,45,
19340,E01000081,Barking and Dagenham 007D,Lower Super Output Areas and Data Zones,LSOADZ,165,74,19,4,1688,16,
19341,E01000082,Barking and Dagenham 007E,Lower Super Output Areas and Data Zones,LSOADZ,172,45,17,11,1683,24,
19342,E01000083,Barking and Dagenham 007F,Lower Super Output Areas and Data Zones,LSOADZ,197,61,20,7,1700,29,
19343,E01000084,Barking and Dagenham 013D,Lower Super Output Areas and Data Zones,LSOADZ,166,50,16,4,1355,30,
19344,E01000085,Barking and Dagenham 013E,Lower Super Output Areas and Data Zones,LSOADZ,176,57,15,4,1718,117,
19345,E01000086,Barking and Dagenham 013F,Lower Super Output Areas and Data Zones,LSOADZ,144,52,8,7,1431,33,
19346,E01000087,Barking and Dagenham 020B,Lower Super Output Areas and Data Zones,LSOADZ,121,48,7,4,1341,53,
19347,E01000088,Barking and Dagenham 020C,Lower Super Output Areas and Data Zones,LSOADZ,183,106,27,18,1828,69,
19348,E01000089,Barking and Dagenham 020D,Lower Super Output Areas and Data Zones,LSOADZ,177,59,10,2,1666,42,
19349,E01000090,Barking and Dagenham 020E,Lower Super Output Areas and Data Zones,LSOADZ,173,46,10,4,1584,48,
19350,E01000091,Barking and Dagenham 022A,Lower Super Output Areas and Data Zones,LSOADZ,224,78,15,6,1714,49,
19351,E01000092,Barking and Dagenham 019E,Lower Super Output Areas and Data Zones,LSOADZ,299,107,30,15,2674,90,
19352,E01000093,Barking and Dagenham 022B,Lower Super Output Areas and Data Zones,LSOADZ,199,37,22,8,1547,45,
19353,E01000094,Barking and Dagenham 022C,Lower Super Output Areas and Data Zones,LSOADZ,202,3,1,0,1326,68,
19354,E01000095,Barking and Dagenham 018E,Lower Super Output Areas and Data Zones,LSOADZ,211,37,11,1,1572,42,
19355,E01000096,Barking and Dagenham 022D,Lower Super Output Areas and Data Zones,LSOADZ,250,42,6,0,1895,48,
19356,E01000097,Barking and Dagenham 023C,Lower Super Output Areas and Data Zones,LSOADZ,152,120,43,20,1683,30,
19357,E01000098,Barking and Dagenham 023D,Lower Super Output Areas and Data Zones,LSOADZ,171,66,20,4,1746,38,
19358,E01000099,Barking and Dagenham 023E,Lower Super Output Areas and Data Zones,LSOADZ,173,65,18,9,1732,27,
19359,E01000100,Barking and Dagenham 004B,Lower Super Output Areas and Data Zones,LSOADZ,161,51,24,7,1653,32,
19360,E01000101,Barking and Dagenham 004C,Lower Super Output Areas and Data Zones,LSOADZ,141,40,24,6,1513,28,
19361,E01000102,Barking and Dagenham 007G,Lower Super Output Areas and Data Zones,LSOADZ,170,71,23,6,1540,34,
19362,E01000103,Barking and Dagenham 014A,Lower Super Output Areas and Data Zones,LSOADZ,138,45,12,5,1685,58,
19363,E01000104,Barking and Dagenham 014B,Lower Super Output Areas and Data Zones,LSOADZ,175,48,13,3,1781,33,
19364,E01000105,Barking and Dagenham 014C,Lower Super Output Areas and Data Zones,LSOADZ,219,96,30,24,2129,55,
19365,E01000106,Barking and Dagenham 014D,Lower Super Output Areas and Data Zones,LSOADZ,245,98,9,11,1968,41,
19366,E01000107,Barking and Dagenham 010C,Lower Super Output Areas and Data Zones,LSOADZ,140,104,40,20,1666,21,
19367,E01000108,Barking and Dagenham 010D,Lower Super Output Areas and Data Zones,LSOADZ,132,59,11,3,1558,43,
19368,E01000109,Barking and Dagenham 004D,Lower Super Output Areas and Data Zones,LSOADZ,145,60,10,8,1686,32,
19369,E01000110,Barking and Dagenham 002C,Lower Super Output Areas and Data Zones,LSOADZ,88,71,20,4,1416,16,
19370,E01000111,Barking and Dagenham 002D,Lower Super Output Areas and Data Zones,LSOADZ,180,96,31,11,1833,29,
19371,E01000112,Barking and Dagenham 002E,Lower Super Output Areas and Data Zones,LSOADZ,172,68,34,8,1871,53,
19372,E01000113,Barking and Dagenham 002F,Lower Super Output Areas and Data Zones,LSOADZ,163,60,12,7,1679,39,
19373,E01000114,Barking and Dagenham 004E,Lower Super Output Areas and Data Zones,LSOADZ,189,81,14,4,2090,72,
19374,E01000115,Barnet 009A,Lower Super Output Areas and Data Zones,LSOADZ,74,97,17,22,1484,11,
19375,E01000116,Barnet 009B,Lower Super Output Areas and Data Zones,LSOADZ,119,83,14,10,1718,23,
19376,E01000117,Barnet 010A,Lower Super Output Areas and Data Zones,LSOADZ,106,143,27,18,1819,25,
19377,E01000118,Barnet 010B,Lower Super Output Areas and Data Zones,LSOADZ,137,93,16,13,1936,29,
19378,E01000119,Barnet 009C,Lower Super Output Areas and Data Zones,LSOADZ,100,90,18,5,1680,26,
19379,E01000120,Barnet 009D,Lower Super Output Areas and Data Zones,LSOADZ,84,82,20,8,1504,11,
19380,E01000121,Barnet 010C,Lower Super Output Areas and Data Zones,LSOADZ,104,56,41,31,1497,9,
19381,E01000122,Barnet 009E,Lower Super Output Areas and Data Zones,LSOADZ,87,58,19,8,1471,16,
19382,E01000123,Barnet 010D,Lower Super Output Areas and Data Zones,LSOADZ,121,53,6,7,1664,30,
19383,E01000124,Barnet 010E,Lower Super Output Areas and Data Zones,LSOADZ,117,50,15,8,1621,58,
19384,E01000125,Barnet 024A,Lower Super Output Areas and Data Zones,LSOADZ,258,89,35,25,2779,174,
19385,E01000126,Barnet 026A,Lower Super Output Areas and Data Zones,LSOADZ,203,40,7,12,2162,53,
19386,E01000127,Barnet 024B,Lower Super Output Areas and Data Zones,LSOADZ,129,53,11,5,1505,69,
19387,E01000128,Barnet 024C,Lower Super Output Areas and Data Zones,LSOADZ,168,68,17,9,1869,90,
19388,E01000129,Barnet 024D,Lower Super Output Areas and Data Zones,LSOADZ,163,77,34,18,1782,130,
19389,E01000130,Barnet 021A,Lower Super Output Areas and Data Zones,LSOADZ,119,23,6,4,1603,51,
19390,E01000131,Barnet 024E,Lower Super Output Areas and Data Zones,LSOADZ,152,71,10,9,1806,122,
19391,E01000132,Barnet 021B,Lower Super Output Areas and Data Zones,LSOADZ,112,34,3,8,1478,54,
19392,E01000133,Barnet 021C,Lower Super Output Areas and Data Zones,LSOADZ,103,70,13,7,1601,57,
19393,E01000134,Barnet 024F,Lower Super Output Areas and Data Zones,LSOADZ,115,55,14,3,1632,57,
19394,E01000135,Barnet 038A,Lower Super Output Areas and Data Zones,LSOADZ,77,95,31,44,1564,118,
19395,E01000136,Barnet 038B,Lower Super Output Areas and Data Zones,LSOADZ,85,124,51,25,1532,95,
19396,E01000137,Barnet 041A,Lower Super Output Areas and Data Zones,LSOADZ,152,91,30,20,1729,72,
19397,E01000138,Barnet 040A,Lower Super Output Areas and Data Zones,LSOADZ,88,56,23,9,1449,89,
19398,E01000139,Barnet 041B,Lower Super Output Areas and Data Zones,LSOADZ,81,53,18,7,1429,66,
19399,E01000140,Barnet 041C,Lower Super Output Areas and Data Zones,LSOADZ,105,72,15,16,1631,139,
19400,E01000141,Barnet 039A,Lower Super Output Areas and Data Zones,LSOADZ,157,41,9,3,2104,179,
19401,E01000142,Barnet 040B,Lower Super Output Areas and Data Zones,LSOADZ,197,87,31,25,2381,135,
19402,E01000143,Barnet 041D,Lower Super Output Areas and Data Zones,LSOADZ,110,41,12,9,1459,127,
19403,E01000144,Barnet 038C,Lower Super Output Areas and Data Zones,LSOADZ,106,51,20,12,1538,159,
19404,E01000145,Barnet 037A,Lower Super Output Areas and Data Zones,LSOADZ,141,62,28,36,1517,103,
19405,E01000146,Barnet 038D,Lower Super Output Areas and Data Zones,LSOADZ,101,59,27,22,1716,161,
19406,E01000147,Barnet 030A,Lower Super Output Areas and Data Zones,LSOADZ,94,91,18,5,1734,90,
19407,E01000148,Barnet 030B,Lower Super Output Areas and Data Zones,LSOADZ,147,61,17,8,1873,121,
19408,E01000150,Barnet 036A,Lower Super Output Areas and Data Zones,LSOADZ,152,108,21,2,2060,92,
19409,E01000151,Barnet 026B,Lower Super Output Areas and Data Zones,LSOADZ,204,28,4,0,1711,55,
19410,E01000152,Barnet 026C,Lower Super Output Areas and Data Zones,LSOADZ,180,17,0,2,1729,43,
19411,E01000153,Barnet 026D,Lower Super Output Areas and Data Zones,LSOADZ,134,34,14,2,1541,24,
19412,E01000154,Barnet 026E,Lower Super Output Areas and Data Zones,LSOADZ,114,37,12,2,1360,67,
19413,E01000155,Barnet 030D,Lower Super Output Areas and Data Zones,LSOADZ,214,29,4,2,1880,169,
19414,E01000156,Barnet 022A,Lower Super Output Areas and Data Zones,LSOADZ,139,67,21,5,1875,74,
19415,E01000157,Barnet 022B,Lower Super Output Areas and Data Zones,LSOADZ,140,47,12,4,1541,37,
19416,E01000158,Barnet 015A,Lower Super Output Areas and Data Zones,LSOADZ,112,45,7,8,1470,26,
19417,E01000159,Barnet 015B,Lower Super Output Areas and Data Zones,LSOADZ,107,91,26,4,1777,29,
19418,E01000160,Barnet 015C,Lower Super Output Areas and Data Zones,LSOADZ,155,31,4,4,2061,64,
19419,E01000161,Barnet 015D,Lower Super Output Areas and Data Zones,LSOADZ,104,71,23,43,1821,83,
19420,E01000162,Barnet 015E,Lower Super Output Areas and Data Zones,LSOADZ,83,81,27,37,1599,54,
19421,E01000163,Barnet 022C,Lower Super Output Areas and Data Zones,LSOADZ,145,30,7,4,1558,51,
19422,E01000164,Barnet 022D,Lower Super Output Areas and Data Zones,LSOADZ,134,45,9,10,1686,51,
19423,E01000165,Barnet 022E,Lower Super Output Areas and Data Zones,LSOADZ,137,47,3,2,1862,75,
19424,E01000166,Barnet 003A,Lower Super Output Areas and Data Zones,LSOADZ,114,82,21,9,1582,18,
19425,E01000167,Barnet 002A,Lower Super Output Areas and Data Zones,LSOADZ,84,51,16,8,1307,7,
19426,E01000168,Barnet 003B,Lower Super Output Areas and Data Zones,LSOADZ,78,95,33,8,1564,11,
19427,E01000169,Barnet 003C,Lower Super Output Areas and Data Zones,LSOADZ,100,70,15,6,1490,22,
19428,E01000170,Barnet 006A,Lower Super Output Areas and Data Zones,LSOADZ,98,84,21,11,1636,19,
19429,E01000171,Barnet 006B,Lower Super Output Areas and Data Zones,LSOADZ,208,29,15,6,1849,35,
19430,E01000172,Barnet 003D,Lower Super Output Areas and Data Zones,LSOADZ,126,85,27,15,1677,17,
19431,E01000173,Barnet 006C,Lower Super Output Areas and Data Zones,LSOADZ,103,62,17,9,1719,10,
19432,E01000174,Barnet 006D,Lower Super Output Areas and Data Zones,LSOADZ,129,72,20,11,1728,27,
19433,E01000175,Barnet 006E,Lower Super Output Areas and Data Zones,LSOADZ,129,90,18,10,1585,16,
19434,E01000176,Barnet 027A,Lower Super Output Areas and Data Zones,LSOADZ,89,83,15,9,1613,44,
19435,E01000177,Barnet 029A,Lower Super Output Areas and Data Zones,LSOADZ,139,56,8,6,1628,46,
19436,E01000178,Barnet 027B,Lower Super Output Areas and Data Zones,LSOADZ,145,95,31,17,1791,42,
19437,E01000179,Barnet 029B,Lower Super Output Areas and Data Zones,LSOADZ,148,35,12,3,1614,52,
19438,E01000180,Barnet 029C,Lower Super Output Areas and Data Zones,LSOADZ,120,92,32,14,1607,40,
19439,E01000181,Barnet 029D,Lower Super Output Areas and Data Zones,LSOADZ,122,59,15,8,1711,51,
19440,E01000182,Barnet 029E,Lower Super Output Areas and Data Zones,LSOADZ,79,73,29,9,1691,46,
19441,E01000183,Barnet 033A,Lower Super Output Areas and Data Zones,LSOADZ,93,70,43,54,1473,32,
19442,E01000184,Barnet 027C,Lower Super Output Areas and Data Zones,LSOADZ,119,43,6,7,1414,50,
19443,E01000185,Barnet 029F,Lower Super Output Areas and Data Zones,LSOADZ,88,40,17,7,1447,53,
19444,E01000186,Barnet 014A,Lower Super Output Areas and Data Zones,LSOADZ,114,66,14,12,1612,14,
19445,E01000187,Barnet 014B,Lower Super Output Areas and Data Zones,LSOADZ,144,96,37,14,1657,46,
19446,E01000188,Barnet 014C,Lower Super Output Areas and Data Zones,LSOADZ,79,75,26,10,1554,29,
19447,E01000189,Barnet 014D,Lower Super Output Areas and Data Zones,LSOADZ,202,33,9,6,1814,65,
19448,E01000190,Barnet 014E,Lower Super Output Areas and Data Zones,LSOADZ,102,79,24,18,1579,32,
19449,E01000191,Barnet 014F,Lower Super Output Areas and Data Zones,LSOADZ,111,83,42,15,1525,28,
19450,E01000192,Barnet 018A,Lower Super Output Areas and Data Zones,LSOADZ,158,124,36,17,1850,112,
19451,E01000193,Barnet 018B,Lower Super Output Areas and Data Zones,LSOADZ,108,92,22,14,1709,67,
19452,E01000194,Barnet 018C,Lower Super Output Areas and Data Zones,LSOADZ,123,76,10,1,1640,91,
19453,E01000195,Barnet 013A,Lower Super Output Areas and Data Zones,LSOADZ,162,47,12,6,1788,72,
